Mes;Incidencia;Farola;Sticker;Tecnologia;Potencia;Tipo;Crucero;Via;Descripción;Fecha Asignación;Fecha Finalización;Tiempo (Días);Operario;Estado;Latitud;Longitud
Mayo;2049500;1649743;019771;LED;37;PRE;25;16;Se ha realizado el mantenimiento preventivo sobre la farola: 1649743;14/05/2026;14/05/2026;0;cuad56;FINALIZADA;2,942936043;-75,28245696
Mayo;2049505;1649744;019778;LED;37;PRE;25;16;Se ha realizado el mantenimiento preventivo sobre la farola: 1649744;14/05/2026;14/05/2026;0;cuad56;FINALIZADA;2,943151082;-75,282484
Mayo;2049501;1649745;019774;LED;37;PRE;25;16;Se ha realizado el mantenimiento preventivo sobre la farola: 1649745;14/05/2026;14/05/2026;0;cuad56;FINALIZADA;2,943151082;-75,282484
Mayo;2049509;1649746;019780;LED;37;PRE;25;16;Se ha realizado el mantenimiento preventivo sobre la farola: 1649746;14/05/2026;14/05/2026;0;cuad56;FINALIZADA;2,942114053;-75,28238899
Mayo;2049511;1649747;019772;LED;37;PRE;25;16;Se ha realizado el mantenimiento preventivo sobre la farola: 1649747;14/05/2026;14/05/2026;0;cuad56;FINALIZADA;2,942114053;-75,28238899
Mayo;2051465;1650447;069250;LED;106,5;PRE;10;5;Se ha realizado el mantenimiento preventivo sobre la farola: 1650447;15/05/2026;28/05/2026;13;cuad57;FINALIZADA;2,929158112;-75,28860402
Mayo;2067308;1652048;068410;LED;74,1;PRE;5;1;Se ha realizado el mantenimiento preventivo sobre la farola: 1652048;30/05/2026;30/05/2026;0;cuad59;FINALIZADA;3,037267;-75,250145
Mayo;2067367;1652049;068429;LED;74,1;PRE;5;1;Se ha realizado el mantenimiento preventivo sobre la farola: 1652049;30/05/2026;30/05/2026;0;cuad59;FINALIZADA;3,036594;-75,250117
Mayo;2067375;1652051;068428;LED;74,1;PRE;5;2;Se ha realizado el mantenimiento preventivo sobre la farola: 1652051;30/05/2026;30/05/2026;0;cuad59;FINALIZADA;3,037696;-75,250238
Mayo;2067311;1652052;068411;LED;74,1;PRE;5;2;Se ha realizado el mantenimiento preventivo sobre la farola: 1652052;30/05/2026;30/05/2026;0;cuad59;FINALIZADA;3,038415;-75,250375
Mayo;2067169;1652060;051037;LED;74,1;PRE;4;2;Se ha realizado el mantenimiento preventivo sobre la farola: 1652060;30/05/2026;30/05/2026;0;cuad59;FINALIZADA;3,036330105;-75,25000399
